,predict
1179,0.11477053
1180,0.10886565
1181,0.10562753
1182,0.10269666
1183,0.07622589
1184,0.0889407
1185,0.13439505
1186,0.1354501
1187,0.118838355
1188,0.18006904
1189,0.17061234
1190,0.20670733
1191,0.20332837
1192,0.13420162
1193,0.17371424
1194,0.39973062
1195,0.4265278
1196,0.7461222
1197,0.66966414
1198,0.47194505
1199,0.3447271
1200,0.32545948
1201,0.252769
1202,0.18424857
1203,0.16181125
1204,0.15360565
1205,0.12454377
1206,0.11511166
1207,0.1027448
1208,0.07981916
1209,0.078704245
1210,0.07925164
1211,0.09800489
1212,0.14526175
1213,0.1848235
1214,0.22124937
1215,0.14733647
1216,0.1533259
1217,0.19580495
1218,0.38865137
1219,0.4267006
1220,0.57548743
1221,0.49899083
1222,0.53855723
1223,0.46241456
1224,0.403185
1225,0.21005145
1226,0.12887898
1227,0.13780864
1228,0.13188769
1229,0.11806562
1230,0.08147016
1231,0.06691501
1232,0.10069691
1233,0.07848778
1234,0.06502362
1235,0.12430808
1236,0.17891859
1237,0.21116212
1238,0.22710994
1239,0.20076361
1240,0.1326489
1241,0.2114451
1242,0.40915823
1243,0.45899993
1244,0.7760012
1245,0.50022614
1246,0.3578788
1247,0.2953142
1248,0.30749214
1249,0.24232619
1250,0.17809229
1251,0.14201942
1252,0.16624853
1253,0.15442435
1254,0.09338787
1255,0.050969966
1256,0.07279912
1257,0.08801423
1258,0.04892864
1259,0.053315677
1260,0.14302224
1261,0.18366209
1262,0.23373257
1263,0.20313942
1264,0.14596424
1265,0.2123029
1266,0.38366848
1267,0.37180042
1268,0.5896448
1269,0.5659465
1270,0.5862223
1271,0.4912464
1272,0.29799697
1273,0.3134672
1274,0.26543975
1275,0.18558359
1276,0.18574253
1277,0.16354574
1278,0.12928769
1279,0.10625009
1280,0.10014516
1281,0.093037635
1282,0.07380662
1283,0.057578035
1284,0.071291424
1285,0.0853886
1286,0.15007924
1287,0.20137107
1288,0.15455459
1289,0.15195644
1290,0.3417935
1291,0.3437297
1292,0.53497654
1293,0.501339
1294,0.46013206
1295,0.5328651
1296,0.36556113
1297,0.35660148
1298,0.32376024
1299,0.25551206
1300,0.1658173
1301,0.15033841
1302,0.12946719
1303,0.086515665
1304,0.08985539
1305,0.07441802
1306,0.05785179
1307,0.06829723
1308,0.11620085
1309,0.100919254
1310,0.18060626
1311,0.19221772
1312,0.1483914
1313,0.19525976
1314,0.3672632
1315,0.40384758
1316,0.53277105
1317,0.4793092
1318,0.501681
1319,0.5124163
1320,0.50678366
1321,0.44982702
1322,0.30918175
1323,0.20801428
1324,0.18050855
1325,0.14017941
1326,0.10290439
1327,0.09299667
1328,0.089369364
1329,0.07627174
1330,0.051771425
1331,0.10854846
1332,0.17495975
1333,0.19298707
1334,0.22911146
1335,0.20094375
1336,0.14068462
1337,0.22575007
1338,0.36394697
1339,0.3601519
1340,0.48269027
1341,0.4322105
1342,0.46910524
1343,0.534828
1344,0.519939
1345,0.4218154
1346,0.3488824
1347,0.1996076
1348,0.13468608
1349,0.1104479
1350,0.08701736
1351,0.08321476
1352,0.07835655
1353,0.057600424
1354,0.037089713
1355,0.16428564
1356,0.20752689
1357,0.19685636
1358,0.21647143
1359,0.20002982
1360,0.15467249
1361,0.21205533
1362,0.3679455
1363,0.42235982
1364,0.547051
1365,0.41329724
1366,0.5143059
1367,0.5081102
1368,0.5034167
1369,0.33533227
1370,0.19110307
1371,0.12520443
1372,0.12493347
1373,0.11519417
1374,0.092948206
1375,0.056781486
1376,0.09606064
1377,0.10666524
1378,0.08787738
1379,0.15501136
1380,0.1937066
1381,0.20144
1382,0.23639946
1383,0.1974639
1384,0.15137944
1385,0.21586075
1386,0.37776268
1387,0.41296035
1388,0.5008999
1389,0.43310833
1390,0.44350207
1391,0.4289434
1392,0.34822074
1393,0.3198452
1394,0.32339486
1395,0.23049691
1396,0.19666871
1397,0.1882258
1398,0.09911375
1399,0.069184065
1400,0.10473976
1401,0.09304626
1402,0.06780926
1403,0.1382563
1404,0.19139375
1405,0.21157655
1406,0.20472175
1407,0.17240082
1408,0.1586734
1409,0.23662224
1410,0.3961109
1411,0.4864809
1412,0.5965625
1413,0.43965244
1414,0.47751403
1415,0.3649317
1416,0.3302806
1417,0.32692802
1418,0.26894072
1419,0.18041298
1420,0.17528246
1421,0.13047563
1422,0.10838409
1423,0.099052876
1424,0.09682633
1425,0.080797076
1426,0.068079226
1427,0.13367864
1428,0.12534407
1429,0.16412029
1430,0.2035205
1431,0.18035316
1432,0.14065881
1433,0.20171547
1434,0.35527757
1435,0.39911127
1436,0.5698917
1437,0.4267854
1438,0.42176396
1439,0.38402164
1440,0.32245547
1441,0.34760135
1442,0.3564554
1443,0.28169745
1444,0.27202207
1445,0.22014073
1446,0.124529675
1447,0.096693516
1448,0.09718984
1449,0.08337565
1450,0.0679008
1451,0.09934798
1452,0.124677554
1453,0.14637582
1454,0.22907111
1455,0.1940498
1456,0.17732829
1457,0.20473534
1458,0.3544171
1459,0.44341242
1460,0.5833647
1461,0.498509
1462,0.4933651
1463,0.3866803
1464,0.31932586
1465,0.3142665
1466,0.32482454
1467,0.2254612
1468,0.18357086
1469,0.18634656
1470,0.13262522
1471,0.11165769
1472,0.108468436
1473,0.10248213
1474,0.09040995
1475,0.09481712
1476,0.1113311
1477,0.11312084
1478,0.1405601
1479,0.10036489
1480,0.07459787
1481,0.1774607
1482,0.380167
1483,0.45619917
1484,0.58781314
1485,0.5136863
1486,0.56294334
1487,0.46457338
1488,0.4175099
1489,0.33128685
1490,0.28369462
1491,0.17620108
1492,0.163315
1493,0.13912901
1494,0.117826924
1495,0.10657421
1496,0.097328134
1497,0.08241817
1498,0.064236246
1499,0.0970173
1500,0.118255496
1501,0.117096804
1502,0.19327377
1503,0.14967598
1504,0.14971948
1505,0.21634771
1506,0.36103255
1507,0.48956764
1508,0.57841206
1509,0.4871322
1510,0.5529017
1511,0.4673192
1512,0.43396372
1513,0.3022222
1514,0.23867947
1515,0.15807013
1516,0.14274247
1517,0.12627569
1518,0.10934223
1519,0.09473215
1520,0.08638555
1521,0.06915452
1522,0.063608274
1523,0.10811758
1524,0.13449828
1525,0.18943232
1526,0.22986016
1527,0.14068076
1528,0.16651823
1529,0.2314665
1530,0.3250293
1531,0.43489546
1532,0.5713093
1533,0.5806452
1534,0.63841313
1535,0.56984127
1536,0.35142606
1537,0.21821809
1538,0.21070836
1539,0.16045563
1540,0.13495518
1541,0.118621975
1542,0.105179906
1543,0.09259214
1544,0.07716949
1545,0.06051694
1546,0.05922959
1547,0.12219532
1548,0.124890305
1549,0.19648138
1550,0.2031272
1551,0.14812167
